system:index,probability,.geo
844_0,0.25737295,"{""type"":""MultiPoint"",""coordinates"":[]}"
845_0,0.060817193,"{""type"":""MultiPoint"",""coordinates"":[]}"
846_0,0.8375385,"{""type"":""MultiPoint"",""coordinates"":[]}"
847_0,0.015752748,"{""type"":""MultiPoint"",""coordinates"":[]}"
849_0,0.12622434,"{""type"":""MultiPoint"",""coordinates"":[]}"
852_0,0.07642482,"{""type"":""MultiPoint"",""coordinates"":[]}"
853_0,0.13767032,"{""type"":""MultiPoint"",""coordinates"":[]}"
862_0,0.057433836,"{""type"":""MultiPoint"",""coordinates"":[]}"
863_0,0.010467444,"{""type"":""MultiPoint"",""coordinates"":[]}"
864_0,0.5464797,"{""type"":""MultiPoint"",""coordinates"":[]}"
865_0,0.12913777,"{""type"":""MultiPoint"",""coordinates"":[]}"
866_0,0.17940189,"{""type"":""MultiPoint"",""coordinates"":[]}"
867_0,0.2675212,"{""type"":""MultiPoint"",""coordinates"":[]}"
869_0,0.1968758,"{""type"":""MultiPoint"",""coordinates"":[]}"
870_0,0.12563357,"{""type"":""MultiPoint"",""coordinates"":[]}"
871_0,0.5230371,"{""type"":""MultiPoint"",""coordinates"":[]}"
872_0,0.07870284,"{""type"":""MultiPoint"",""coordinates"":[]}"
873_0,0.18877323,"{""type"":""MultiPoint"",""coordinates"":[]}"
874_0,0.6967373,"{""type"":""MultiPoint"",""coordinates"":[]}"
882_0,0.31449068,"{""type"":""MultiPoint"",""coordinates"":[]}"
886_0,0.105786815,"{""type"":""MultiPoint"",""coordinates"":[]}"
888_0,0.031531986,"{""type"":""MultiPoint"",""coordinates"":[]}"
892_0,0.14822298,"{""type"":""MultiPoint"",""coordinates"":[]}"
894_0,0.18016276,"{""type"":""MultiPoint"",""coordinates"":[]}"
897_0,0.2518834,"{""type"":""MultiPoint"",""coordinates"":[]}"
900_0,0.026345888,"{""type"":""MultiPoint"",""coordinates"":[]}"
905_0,0.33702496,"{""type"":""MultiPoint"",""coordinates"":[]}"
906_0,0.26329228,"{""type"":""MultiPoint"",""coordinates"":[]}"
908_0,0.037192237,"{""type"":""MultiPoint"",""coordinates"":[]}"
